Date;High;Low;Close;Average;Total;Turnover;Trades
1998-12-30;701,310;701,310;701,310;;;;0
1998-12-29;705,520;705,520;705,520;;;;0
1998-12-28;711,450;711,450;711,450;;;;0
1998-12-23;701,880;701,880;701,880;;;;0
1998-12-22;680,190;680,190;680,190;;;;0
1998-12-21;672,610;672,610;672,610;;;;0
1998-12-18;661,180;661,180;661,180;;;;0
1998-12-17;674,840;674,840;674,840;;;;0
1998-12-16;668,120;668,120;668,120;;;;0
1998-12-15;651,320;651,320;651,320;;;;0
1998-12-14;656,240;656,240;656,240;;;;0
1998-12-11;667,480;667,480;667,480;;;;0
1998-12-10;686,040;686,040;686,040;;;;0
1998-12-09;728,200;728,200;728,200;;;;0
1998-12-08;692,940;692,940;692,940;;;;0
1998-12-07;694,380;694,380;694,380;;;;0
1998-12-04;681,160;681,160;681,160;;;;0
1998-12-03;677,920;677,920;677,920;;;;0
1998-12-02;683,740;683,740;683,740;;;;0
1998-12-01;689,710;689,710;689,710;;;;0
1998-11-30;709,270;709,270;709,270;;;;0
1998-11-27;722,340;722,340;722,340;;;;0
1998-11-26;707,440;707,440;707,440;;;;0
1998-11-25;691,800;691,800;691,800;;;;0
1998-11-24;678,210;678,210;678,210;;;;0
1998-11-23;686,230;686,230;686,230;;;;0
1998-11-20;674,050;674,050;674,050;;;;0
1998-11-19;671,080;671,080;671,080;;;;0
1998-11-18;662,930;662,930;662,930;;;;0
1998-11-17;649,010;649,010;649,010;;;;0
1998-11-16;649,600;649,600;649,600;;;;0
1998-11-13;638,050;638,050;638,050;;;;0
1998-11-12;637,830;637,830;637,830;;;;0
1998-11-11;644,450;644,450;644,450;;;;0
1998-11-10;636,590;636,590;636,590;;;;0
1998-11-09;635,810;635,810;635,810;;;;0
1998-11-06;642,600;642,600;642,600;;;;0
1998-11-05;638,020;638,020;638,020;;;;0
1998-11-04;655,470;655,470;655,470;;;;0
1998-11-03;640,140;640,140;640,140;;;;0
1998-11-02;651,490;651,490;651,490;;;;0
1998-10-30;624,420;624,420;624,420;;;;0
1998-10-29;605,610;605,610;605,610;;;;0
1998-10-28;601,050;601,050;601,050;;;;0
1998-10-27;619,830;619,830;619,830;;;;0
1998-10-26;600,290;600,290;600,290;;;;0
1998-10-23;595,680;595,680;595,680;;;;0
1998-10-22;588,520;588,520;588,520;;;;0
1998-10-21;604,200;604,200;604,200;;;;0
1998-10-20;626,840;626,840;626,840;;;;0
1998-10-19;613,050;613,050;613,050;;;;0
1998-10-16;620,940;620,940;620,940;;;;0
1998-10-15;608,080;608,080;608,080;;;;0
1998-10-14;596,270;596,270;596,270;;;;0
1998-10-13;577,950;577,950;577,950;;;;0
1998-10-12;579,570;579,570;579,570;;;;0
1998-10-09;519,080;519,080;519,080;;;;0
1998-10-08;498,640;498,640;498,640;;;;0
1998-10-07;534,180;534,180;534,180;;;;0
1998-10-06;547,120;547,120;547,120;;;;0
1998-10-05;533,720;533,720;533,720;;;;0
1998-10-02;557,940;557,940;557,940;;;;0
1998-10-01;565,050;565,050;565,050;;;;0
1998-09-30;586,860;586,860;586,860;;;;0
1998-09-29;606,680;606,680;606,680;;;;0
1998-09-28;609,970;609,970;609,970;;;;0
1998-09-25;595,370;595,370;595,370;;;;0
1998-09-24;594,870;594,870;594,870;;;;0
1998-09-23;606,880;606,880;606,880;;;;0
1998-09-22;583,910;583,910;583,910;;;;0
1998-09-21;576,620;576,620;576,620;;;;0
1998-09-18;584,050;584,050;584,050;;;;0
1998-09-17;591,930;591,930;591,930;;;;0
1998-09-16;617,140;617,140;617,140;;;;0
1998-09-15;622,260;622,260;622,260;;;;0
1998-09-14;633,480;633,480;633,480;;;;0
1998-09-11;627,780;627,780;627,780;;;;0
1998-09-10;633,770;633,770;633,770;;;;0
1998-09-09;654,110;654,110;654,110;;;;0
1998-09-08;671,580;671,580;671,580;;;;0
1998-09-07;655,450;655,450;655,450;;;;0
1998-09-04;643,530;643,530;643,530;;;;0
1998-09-03;624,030;624,030;624,030;;;;0
1998-09-02;643,890;643,890;643,890;;;;0
1998-09-01;641,190;641,190;641,190;;;;0
1998-08-31;657,780;657,780;657,780;;;;0
1998-08-28;660,860;660,860;660,860;;;;0
1998-08-27;672,400;672,400;672,400;;;;0
1998-08-26;701,530;701,530;701,530;;;;0
1998-08-25;717,850;717,850;717,850;;;;0
1998-08-24;712,320;712,320;712,320;;;;0
1998-08-21;707,880;707,880;707,880;;;;0
1998-08-20;733,610;733,610;733,610;;;;0
1998-08-19;740,680;740,680;740,680;;;;0
1998-08-18;743,040;743,040;743,040;;;;0
1998-08-17;712,150;712,150;712,150;;;;0
1998-08-14;712,500;712,500;712,500;;;;0
1998-08-13;700,050;700,050;700,050;;;;0
1998-08-12;709,950;709,950;709,950;;;;0
1998-08-11;699,580;699,580;699,580;;;;0
1998-08-10;721,910;721,910;721,910;;;;0
1998-08-07;744,530;744,530;744,530;;;;0
1998-08-06;733,070;733,070;733,070;;;;0
1998-08-05;745,400;745,400;745,400;;;;0
1998-08-04;762,260;762,260;762,260;;;;0
1998-08-03;769,110;769,110;769,110;;;;0
1998-07-31;769,370;769,370;769,370;;;;0
1998-07-30;779,830;779,830;779,830;;;;0
1998-07-29;779,630;779,630;779,630;;;;0
1998-07-28;768,810;768,810;768,810;;;;0
1998-07-27;776,500;776,500;776,500;;;;0
1998-07-24;799,110;799,110;799,110;;;;0
1998-07-23;806,860;806,860;806,860;;;;0
1998-07-22;802,110;802,110;802,110;;;;0
1998-07-21;818,280;818,280;818,280;;;;0
1998-07-20;823,200;823,200;823,200;;;;0
1998-07-17;821,980;821,980;821,980;;;;0
1998-07-16;814,240;814,240;814,240;;;;0
1998-07-15;820,900;820,900;820,900;;;;0
1998-07-14;810,900;810,900;810,900;;;;0
1998-07-13;807,120;807,120;807,120;;;;0
1998-07-10;798,340;798,340;798,340;;;;0
1998-07-09;806,160;806,160;806,160;;;;0
