Category: All categories

Week,bitcoin: (Worldwide)
2013-01-06,4
2013-01-13,4
2013-01-20,4
2013-01-27,5
2013-02-03,5
2013-02-10,6
2013-02-17,7
2013-02-24,7
2013-03-03,10
2013-03-10,10
2013-03-17,16
2013-03-24,24
2013-03-31,41
2013-04-07,80
2013-04-14,41
2013-04-21,25
2013-04-28,23
2013-05-05,18
2013-05-12,18
2013-05-19,16
2013-05-26,15
2013-06-02,12
2013-06-09,13
2013-06-16,11
2013-06-23,12
2013-06-30,15
2013-07-07,11
2013-07-14,10
2013-07-21,10
2013-07-28,10
2013-08-04,11
2013-08-11,13
2013-08-18,13
2013-08-25,12
2013-09-01,10
2013-09-08,9
2013-09-15,9
2013-09-22,9
2013-09-29,18
2013-10-06,12
2013-10-13,12
2013-10-20,15
2013-10-27,35
2013-11-03,35
2013-11-10,36
2013-11-17,86
2013-11-24,100
2013-12-01,99
2013-12-08,70
2013-12-15,75
2013-12-22,49
2013-12-29,41
