Category: All categories

Week,bitcoin: (Worldwide)
2017-01-01,24
2017-01-08,18
2017-01-15,14
2017-01-22,13
2017-01-29,14
2017-02-05,15
2017-02-12,13
2017-02-19,16
2017-02-26,20
2017-03-05,22
2017-03-12,18
2017-03-19,18
2017-03-26,16
2017-04-02,15
2017-04-09,15
2017-04-16,15
2017-04-23,16
2017-04-30,23
2017-05-07,30
2017-05-14,36
2017-05-21,63
2017-05-28,41
2017-06-04,40
2017-06-11,43
2017-06-18,36
2017-06-25,36
2017-07-02,30
2017-07-09,33
2017-07-16,38
2017-07-23,35
2017-07-30,48
2017-08-06,46
2017-08-13,66
2017-08-20,52
2017-08-27,56
2017-09-03,59
2017-09-10,67
2017-09-17,51
2017-09-24,41
2017-10-01,40
2017-10-08,61
2017-10-15,65
2017-10-22,66
2017-10-29,89
2017-11-05,93
2017-11-12,100
2017-11-19,89
