Category: All categories

Day,bitcoin: (Worldwide)
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,15
2017-11-25,16
2017-11-26,23
2017-11-27,32
2017-11-28,38
2017-11-29,60
2017-11-30,50
2017-12-01,38
2017-12-02,30
2017-12-03,30
2017-12-04,34
2017-12-05,34
2017-12-06,47
2017-12-07,95
2017-12-08,84
2017-12-09,57
2017-12-10,54
2017-12-11,64
2017-12-12,58
2017-12-13,53
2017-12-14,46
2017-12-15,42
2017-12-16,42
2017-12-17,47
2017-12-18,46
2017-12-19,50
2017-12-20,69
2017-12-21,51
2017-12-22,100
2017-12-23,62
2017-12-24,47
2017-12-25,40
2017-12-26,39
2017-12-27,37
2017-12-28,39
2017-12-29,33
2017-12-30,32
2017-12-31,27
