Category: All categories

Day,bitcoin: (Worldwide)
2017-01-01,46
2017-01-02,82
2017-01-03,78
2017-01-04,89
2017-01-05,100
2017-01-06,89
2017-01-07,74
2017-01-08,67
2017-01-09,64
2017-01-10,59
2017-01-11,71
2017-01-12,70
2017-01-13,58
2017-01-14,53
2017-01-15,47
2017-01-16,52
2017-01-17,53
2017-01-18,55
2017-01-19,48
2017-01-20,47
2017-01-21,44
2017-01-22,45
2017-01-23,45
2017-01-24,48
2017-01-25,47
2017-01-26,44
2017-01-27,47
2017-01-28,42
2017-01-29,42
2017-01-30,43
2017-01-31,48
2017-02-01,48
2017-02-02,52
2017-02-03,55
2017-02-04,45
2017-02-05,47
2017-02-06,51
2017-02-07,51
2017-02-08,52
2017-02-09,59
2017-02-10,52
2017-02-11,48
2017-02-12,45
2017-02-13,45
2017-02-14,45
2017-02-15,44
2017-02-16,49
2017-02-17,52
2017-02-18,49
2017-02-19,46
2017-02-20,48
2017-02-21,55
2017-02-22,56
2017-02-23,62
2017-02-24,72
2017-02-25,60
2017-02-26,50
2017-02-27,55
2017-02-28,55
2017-03-01,63
2017-03-02,70
2017-03-03,100
2017-03-04,73
2017-03-05,65
2017-03-06,69
2017-03-07,72
2017-03-08,77
2017-03-09,71
2017-03-10,97
2017-03-11,80
2017-03-12,62
2017-03-13,66
2017-03-14,64
2017-03-15,58
2017-03-16,62
2017-03-17,66
2017-03-18,72
2017-03-19,65
2017-03-20,61
2017-03-21,63
2017-03-22,63
2017-03-23,61
2017-03-24,62
2017-03-25,68
2017-03-26,55
2017-03-27,60
2017-03-28,56
2017-03-29,56
2017-03-30,54
2017-03-31,55
2017-04-01,52
2017-04-02,53
2017-04-03,54
2017-04-04,55
2017-04-05,54
2017-04-06,54
2017-04-07,51
2017-04-08,51
2017-04-09,52
2017-04-10,59
2017-04-11,56
2017-04-12,55
2017-04-13,54
2017-04-14,52
2017-04-15,47
2017-04-16,53
2017-04-17,54
2017-04-18,56
2017-04-19,54
2017-04-20,51
2017-04-21,52
2017-04-22,53
2017-04-23,48
2017-04-24,51
2017-04-25,57
2017-04-26,59
2017-04-27,62
2017-04-28,62
2017-04-29,58
2017-04-30,56
2017-05-01,70
