Category: All categories

Day,bitcoin: (Worldwide)
2018-01-01,45
2018-01-02,54
2018-01-03,54
2018-01-04,52
2018-01-05,50
2018-01-06,43
2018-01-07,45
2018-01-08,51
2018-01-09,47
2018-01-10,49
2018-01-11,55
2018-01-12,46
2018-01-13,40
2018-01-14,37
2018-01-15,37
2018-01-16,72
2018-01-17,100
2018-01-18,69
2018-01-19,51
2018-01-20,42
2018-01-21,39
2018-01-22,45
2018-01-23,44
2018-01-24,39
2018-01-25,37
2018-01-26,38
2018-01-27,33
2018-01-28,31
2018-01-29,32
2018-01-30,36
2018-01-31,37
2018-02-01,50
2018-02-02,65
2018-02-03,42
2018-02-04,36
2018-02-05,64
2018-02-06,80
2018-02-07,50
2018-02-08,42
2018-02-09,38
2018-02-10,30
2018-02-11,28
