"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2006","2,102.05","2,106.30","2,112.58","2,087.60","7.62B","0.13%"
"Dec 04, 2006","2,161.65","2,103.82","2,164.59","2,100.56","8.72B","2.84%"
"Dec 05, 2006","2,173.28","2,167.36","2,195.53","2,159.32","8.82B","0.54%"
"Dec 06, 2006","2,156.60","2,175.38","2,192.90","2,097.42","10.43B","-0.77%"
"Dec 07, 2006","2,156.75","2,152.59","2,206.51","2,145.79","9.93B","0.01%"
"Dec 08, 2006","2,093.64","2,133.36","2,164.02","2,090.40","8.09B","-2.93%"
"Dec 11, 2006","2,180.50","2,085.06","2,181.16","2,084.27","6.27B","4.15%"
"Dec 12, 2006","2,218.95","2,189.69","2,228.64","2,180.37","7.02B","1.76%"
"Dec 13, 2006","2,223.45","2,224.43","2,244.41","2,195.64","5.75B","0.20%"
"Dec 14, 2006","2,249.11","2,226.00","2,250.32","2,212.91","5.84B","1.15%"
"Dec 15, 2006","2,273.91","2,255.24","2,275.49","2,241.20","6.06B","1.10%"
"Dec 18, 2006","2,332.43","2,277.28","2,335.23","2,277.28","7.83B","2.57%"
"Dec 19, 2006","2,364.18","2,342.18","2,381.63","2,315.99","8.71B","1.36%"
"Dec 20, 2006","2,373.20","2,356.26","2,381.13","2,332.93","7.83B","0.38%"
"Dec 21, 2006","2,342.94","2,372.46","2,386.82","2,339.91","8.32B","-1.28%"
"Dec 22, 2006","2,343.67","2,334.27","2,366.69","2,321.92","7.05B","0.03%"
"Dec 25, 2006","2,435.76","2,350.13","2,452.43","2,350.13","7.39B","3.93%"
"Dec 26, 2006","2,479.73","2,437.85","2,505.70","2,424.94","7.23B","1.81%"
"Dec 27, 2006","2,536.39","2,478.06","2,538.66","2,461.07","7.21B","2.28%"
"Dec 28, 2006","2,567.59","2,538.95","2,611.79","2,530.33","7.87B","1.23%"
"Dec 29, 2006","2,675.47","2,585.42","2,698.90","2,585.42","8.68B","4.20%"
"Jan 04, 2007","2,715.72","2,728.19","2,847.61","2,684.82","12.02B","1.50%"
"Jan 05, 2007","2,641.33","2,668.58","2,685.80","2,617.02","10.62B","-2.74%"
"Jan 08, 2007","2,707.20","2,621.07","2,708.44","2,620.62","10.68B","2.49%"
"Jan 09, 2007","2,807.80","2,711.05","2,809.39","2,691.36","11.08B","3.72%"
"Jan 10, 2007","2,825.58","2,838.11","2,841.74","2,770.99","11.18B","0.63%"
"Jan 11, 2007","2,770.11","2,819.37","2,841.18","2,763.89","12.16B","-1.96%"
"Jan 12, 2007","2,668.11","2,745.32","2,782.03","2,652.58","10.73B","-3.68%"
"Jan 15, 2007","2,794.70","2,660.07","2,795.33","2,658.88","9.18B","4.74%"
"Jan 16, 2007","2,821.02","2,818.66","2,830.80","2,757.20","11.12B","0.94%"
"Jan 17, 2007","2,778.90","2,828.40","2,870.42","2,742.59","12.74B","-1.49%"
"Jan 18, 2007","2,756.98","2,760.94","2,784.04","2,679.70","11.23B","-0.79%"
"Jan 19, 2007","2,832.21","2,761.89","2,833.45","2,761.89","12.21B","2.73%"
"Jan 22, 2007","2,933.19","2,857.90","2,934.65","2,857.90","13.86B","3.57%"
"Jan 23, 2007","2,949.14","2,964.69","2,970.68","2,851.92","14.28B","0.54%"
"Jan 24, 2007","2,975.13","2,955.42","2,994.28","2,927.72","12.21B","0.88%"
"Jan 25, 2007","2,857.36","2,946.50","2,947.15","2,853.82","11.72B","-3.96%"
"Jan 26, 2007","2,882.56","2,805.96","2,905.98","2,720.83","10.96B","0.88%"
"Jan 29, 2007","2,945.26","2,897.25","2,954.34","2,885.86","11.21B","2.18%"
"Jan 30, 2007","2,930.56","2,959.40","2,980.51","2,901.76","11.19B","-0.50%"
"Jan 31, 2007","2,786.34","2,926.07","2,929.65","2,766.75","11.43B","-4.92%"
"Feb 01, 2007","2,785.43","2,744.81","2,801.69","2,706.29","9.34B","-0.03%"
"Feb 02, 2007","2,673.21","2,791.49","2,796.44","2,666.86","8.54B","-4.03%"
"Feb 05, 2007","2,612.54","2,658.07","2,672.35","2,610.33","6.92B","-2.27%"
"Feb 06, 2007","2,675.70","2,612.84","2,677.04","2,541.53","8.66B","2.42%"
"Feb 07, 2007","2,716.18","2,688.96","2,745.39","2,681.33","9.49B","1.51%"
"Feb 08, 2007","2,737.73","2,725.14","2,751.16","2,691.27","8.84B","0.79%"
"Feb 09, 2007","2,730.39","2,741.48","2,747.94","2,704.36","8.09B","-0.27%"
"Feb 12, 2007","2,807.17","2,729.84","2,807.51","2,728.78","7.90B","2.81%"
"Feb 13, 2007","2,831.87","2,819.14","2,835.09","2,801.31","7.90B","0.88%"
"Feb 14, 2007","2,905.09","2,836.82","2,915.06","2,823.38","9.40B","2.59%"
"Feb 15, 2007","2,993.01","2,923.67","2,994.62","2,923.67","10.88B","3.03%"
"Feb 16, 2007","2,998.47","3,018.18","3,036.35","2,975.83","11.79B","0.18%"
"Feb 26, 2007","3,040.60","2,999.09","3,041.34","2,960.74","11.21B","1.41%"
"Feb 27, 2007","2,771.79","3,048.83","3,049.77","2,763.39","16.14B","-8.84%"
"Feb 28, 2007","2,881.07","2,734.59","2,888.90","2,732.88","12.15B","3.94%"
"Mar 01, 2007","2,797.19","2,877.20","2,878.36","2,760.91","12.74B","-2.91%"
"Mar 02, 2007","2,831.53","2,792.94","2,846.16","2,777.80","9.39B","1.23%"
"Mar 05, 2007","2,785.31","2,827.68","2,858.44","2,723.07","10.69B","-1.63%"
"Mar 06, 2007","2,840.18","2,776.17","2,866.33","2,756.96","7.70B","1.97%"
"Mar 07, 2007","2,896.59","2,851.75","2,911.42","2,849.65","8.79B","1.99%"
"Mar 08, 2007","2,928.01","2,904.18","2,928.80","2,871.46","8.90B","1.08%"
"Mar 09, 2007","2,937.91","2,934.49","2,962.42","2,891.81","10.71B","0.34%"
"Mar 12, 2007","2,954.91","2,945.92","2,958.63","2,904.74","10.15B","0.58%"
"Mar 13, 2007","2,964.79","2,958.10","2,966.19","2,932.23","10.72B","0.33%"
"Mar 14, 2007","2,906.33","2,933.68","2,934.45","2,868.81","11.37B","-1.97%"
"Mar 15, 2007","2,951.70","2,905.98","2,955.46","2,905.98","10.17B","1.56%"
"Mar 16, 2007","2,930.48","2,964.09","2,979.71","2,899.03","12.27B","-0.72%"
"Mar 19, 2007","3,014.44","2,864.26","3,038.00","2,852.86","11.00B","2.87%"
"Mar 20, 2007","3,032.20","3,024.78","3,033.02","2,998.80","9.28B","0.59%"
"Mar 21, 2007","3,057.38","3,042.10","3,057.71","3,020.95","9.92B","0.83%"
