Time,
2013-07-11 00:00:00 UTC,1011308034.69981
2013-07-12 00:00:00 UTC,1011807755.4584
2013-07-13 00:00:00 UTC,1044912319.34448
2013-07-14 00:00:00 UTC,1100699018.81559
2013-07-15 00:00:00 UTC,1059824104.24688
2013-07-16 00:00:00 UTC,1117911648.67922
2013-07-17 00:00:00 UTC,1106011170.11009
2013-07-18 00:00:00 UTC,1108909240.67663
2013-07-19 00:00:00 UTC,1024996118.41016
2013-07-20 00:00:00 UTC,1041519127.42691
2013-07-21 00:00:00 UTC,1016142640.18961
2013-07-22 00:00:00 UTC,1033189332.62203
2013-07-23 00:00:00 UTC,1044034694.58511
2013-07-24 00:00:00 UTC,1079274233.38233
2013-07-25 00:00:00 UTC,1076502628.3712
2013-07-26 00:00:00 UTC,1095920827.84446
2013-07-27 00:00:00 UTC,1091844358.57457
2013-07-28 00:00:00 UTC,1071061534.14285
2013-07-29 00:00:00 UTC,1134165334.62836
2013-07-30 00:00:00 UTC,1143817258.50819
2013-07-31 00:00:00 UTC,1206848326.74926
2013-08-01 00:00:00 UTC,1200962047.63795
2013-08-02 00:00:00 UTC,1183076021.38237
2013-08-03 00:00:00 UTC,1179862191.54562
2013-08-04 00:00:00 UTC,1182783782.68589
2013-08-05 00:00:00 UTC,1191808382.82018
2013-08-06 00:00:00 UTC,1208949948.94043
2013-08-07 00:00:00 UTC,1207207880.27307
2013-08-08 00:00:00 UTC,1202731346.29434
2013-08-09 00:00:00 UTC,1179496602.628
2013-08-10 00:00:00 UTC,1162865832.8327
2013-08-11 00:00:00 UTC,1167477636.0781
2013-08-12 00:00:00 UTC,1183328423.45378
2013-08-13 00:00:00 UTC,1199554798.64559
2013-08-14 00:00:00 UTC,1227117317.24357
2013-08-15 00:00:00 UTC,1269497003.22197
2013-08-16 00:00:00 UTC,1232240817.33277
2013-08-17 00:00:00 UTC,1228510109.94936
2013-08-18 00:00:00 UTC,1265101126.41675
2013-08-19 00:00:00 UTC,1279760940.1207
2013-08-20 00:00:00 UTC,1335458594.51577
2013-08-21 00:00:00 UTC,1386645186.78855
2013-08-22 00:00:00 UTC,1379912024.67218
2013-08-23 00:00:00 UTC,1381194852.50215
2013-08-24 00:00:00 UTC,1350003151.64464
2013-08-25 00:00:00 UTC,1361503526.56657
2013-08-26 00:00:00 UTC,1391373245.68795
2013-08-27 00:00:00 UTC,1384757143.45918
2013-08-28 00:00:00 UTC,1489038037.87823
2013-08-29 00:00:00 UTC,1460630195.61159
2013-08-30 00:00:00 UTC,1466081230.06462
2013-08-31 00:00:00 UTC,1571732379.91586
2013-09-01 00:00:00 UTC,1590334044.4143
2013-09-02 00:00:00 UTC,1604889059.25693
2013-09-03 00:00:00 UTC,1642392265.70878
2013-09-04 00:00:00 UTC,1634995268.86111
2013-09-05 00:00:00 UTC,1489197688.40276
2013-09-06 00:00:00 UTC,1504816276.50008
2013-09-07 00:00:00 UTC,1403521221.7937
2013-09-08 00:00:00 UTC,1474110404.53043
2013-09-09 00:00:00 UTC,1449999757.34005
2013-09-10 00:00:00 UTC,1511653146.7141
2013-09-11 00:00:00 UTC,1550729111.55223
2013-09-12 00:00:00 UTC,1650415722.79706
2013-09-13 00:00:00 UTC,1602333267.89351
2013-09-14 00:00:00 UTC,1607252402.32217
2013-09-15 00:00:00 UTC,1557086474.87633
2013-09-16 00:00:00 UTC,1582188461.71588
2013-09-17 00:00:00 UTC,1587728147.07435
