Time,
2013-07-10 00:00:00 UTC,39238.0
2013-07-11 00:00:00 UTC,43434.0
2013-07-12 00:00:00 UTC,48260.0
2013-07-13 00:00:00 UTC,37970.0
2013-07-14 00:00:00 UTC,34933.0
2013-07-15 00:00:00 UTC,36754.0
2013-07-16 00:00:00 UTC,39392.0
2013-07-17 00:00:00 UTC,40643.0
2013-07-18 00:00:00 UTC,41170.0
2013-07-19 00:00:00 UTC,36759.0
2013-07-20 00:00:00 UTC,33702.0
2013-07-21 00:00:00 UTC,35456.0
2013-07-22 00:00:00 UTC,39979.0
2013-07-23 00:00:00 UTC,38432.0
2013-07-24 00:00:00 UTC,42361.0
2013-07-25 00:00:00 UTC,42530.0
2013-07-26 00:00:00 UTC,37373.0
2013-07-27 00:00:00 UTC,36892.0
2013-07-28 00:00:00 UTC,37302.0
2013-07-29 00:00:00 UTC,41812.0
2013-07-30 00:00:00 UTC,42133.0
2013-07-31 00:00:00 UTC,49524.0
2013-08-01 00:00:00 UTC,50904.0
2013-08-02 00:00:00 UTC,51681.0
2013-08-03 00:00:00 UTC,45746.0
2013-08-04 00:00:00 UTC,42946.0
2013-08-05 00:00:00 UTC,51001.0
2013-08-06 00:00:00 UTC,54369.0
2013-08-07 00:00:00 UTC,57606.0
2013-08-08 00:00:00 UTC,58022.0
2013-08-09 00:00:00 UTC,49658.0
2013-08-10 00:00:00 UTC,51695.0
2013-08-11 00:00:00 UTC,38422.0
2013-08-12 00:00:00 UTC,50228.0
2013-08-13 00:00:00 UTC,53080.0
2013-08-14 00:00:00 UTC,51660.0
2013-08-15 00:00:00 UTC,58129.0
2013-08-16 00:00:00 UTC,71119.0
2013-08-17 00:00:00 UTC,56546.0
2013-08-18 00:00:00 UTC,56397.0
2013-08-19 00:00:00 UTC,71314.0
2013-08-20 00:00:00 UTC,63228.0
2013-08-21 00:00:00 UTC,60531.0
2013-08-22 00:00:00 UTC,66812.0
2013-08-23 00:00:00 UTC,55195.0
2013-08-24 00:00:00 UTC,51817.0
2013-08-25 00:00:00 UTC,44447.0
2013-08-26 00:00:00 UTC,56093.0
2013-08-27 00:00:00 UTC,62187.0
2013-08-28 00:00:00 UTC,64747.0
2013-08-29 00:00:00 UTC,58992.0
2013-08-30 00:00:00 UTC,62603.0
2013-08-31 00:00:00 UTC,47505.0
2013-09-01 00:00:00 UTC,46598.0
2013-09-02 00:00:00 UTC,51266.0
2013-09-03 00:00:00 UTC,52163.0
2013-09-04 00:00:00 UTC,52979.0
2013-09-05 00:00:00 UTC,60730.0
2013-09-06 00:00:00 UTC,60850.0
2013-09-07 00:00:00 UTC,51967.0
2013-09-08 00:00:00 UTC,46452.0
2013-09-09 00:00:00 UTC,57676.0
2013-09-10 00:00:00 UTC,53283.0
2013-09-11 00:00:00 UTC,49210.0
2013-09-12 00:00:00 UTC,52300.0
2013-09-13 00:00:00 UTC,44834.0
2013-09-14 00:00:00 UTC,43560.0
2013-09-15 00:00:00 UTC,53672.0
2013-09-16 00:00:00 UTC,51885.0
2013-09-17 00:00:00 UTC,67931.0
2013-09-18 00:00:00 UTC,60551.0
2013-09-19 00:00:00 UTC,59815.0
2013-09-20 00:00:00 UTC,58994.0
2013-09-21 00:00:00 UTC,52498.0
2013-09-22 00:00:00 UTC,50903.0
2013-09-23 00:00:00 UTC,65328.0
2013-09-24 00:00:00 UTC,62592.0
2013-09-25 00:00:00 UTC,54548.0
2013-09-26 00:00:00 UTC,57545.0
2013-09-27 00:00:00 UTC,46920.0
2013-09-28 00:00:00 UTC,42580.0
2013-09-29 00:00:00 UTC,41181.0
2013-09-30 00:00:00 UTC,47156.0
2013-10-01 00:00:00 UTC,57171.0
2013-10-02 00:00:00 UTC,61964.0
2013-10-03 00:00:00 UTC,59551.0
2013-10-04 00:00:00 UTC,51940.0
2013-10-05 00:00:00 UTC,45479.0
2013-10-06 00:00:00 UTC,42857.0
2013-10-07 00:00:00 UTC,44547.0
2013-10-08 00:00:00 UTC,45131.0
2013-10-09 00:00:00 UTC,50673.0
2013-10-10 00:00:00 UTC,56853.0
2013-10-11 00:00:00 UTC,51922.0
2013-10-12 00:00:00 UTC,49474.0
2013-10-13 00:00:00 UTC,51304.0
2013-10-14 00:00:00 UTC,57452.0
2013-10-15 00:00:00 UTC,55826.0
2013-10-16 00:00:00 UTC,50826.0
2013-10-17 00:00:00 UTC,46870.0
2013-10-18 00:00:00 UTC,59661.0
2013-10-19 00:00:00 UTC,55311.0
2013-10-20 00:00:00 UTC,49418.0
2013-10-21 00:00:00 UTC,60451.0
2013-10-22 00:00:00 UTC,65048.0
2013-10-23 00:00:00 UTC,55314.0
2013-10-24 00:00:00 UTC,63634.0
2013-10-25 00:00:00 UTC,57471.0
2013-10-26 00:00:00 UTC,47747.0
2013-10-27 00:00:00 UTC,43691.0
2013-10-28 00:00:00 UTC,51104.0
2013-10-29 00:00:00 UTC,49930.0
2013-10-30 00:00:00 UTC,48446.0
2013-10-31 00:00:00 UTC,58181.0
2013-11-01 00:00:00 UTC,45371.0
2013-11-02 00:00:00 UTC,39181.0
2013-11-03 00:00:00 UTC,35947.0
2013-11-04 00:00:00 UTC,45523.0
2013-11-05 00:00:00 UTC,51597.0
2013-11-06 00:00:00 UTC,55008.0
