Date,Fit1,Fit2,Fit3,Index
0.0,848.2695705126388,800.5856371338514,790.4176814569163,998.3299999999999
1.0,857.7746401850421,810.9184602482817,800.8688404966632,1021.7499999999995
2.0,867.2885358683502,821.2913911781934,811.3751461248952,1043.84
3.0,876.8017169679141,831.694067875457,821.9262681794164,1154.7300000000005
4.0,886.3043696188403,842.1157330404598,832.5114364156814,1013.3800000000003
5.0,895.7864242619662,852.545250241791,843.1194544050746,902.2000000000004
6.0,905.2375751760225,862.9711226229858,853.7387161820699,908.5899999999997
7.0,914.6473019701277,873.3815142426292,864.3572257125805,911.1999999999998
8.0,924.0048930274925,883.7642740776071,874.9626192393521,902.8299999999997
9.0,933.299470877417,894.1069627014591,885.5421905419381,907.6800000000003
10.0,942.520019457959,904.3968816303765,896.082919128929,777.7599999999999
11.0,951.6554132165894,914.621105309188,906.5715013586502,804.83
12.0,960.6944479804744,924.7665156879782,916.9943844618723,823.98
13.0,969.6258735121773,934.8198393177448,927.3378034157702,818.4100000000001
14.0,978.4384276504127,944.7676868704008,937.5878205935547,821.8000000000003
15.0,987.1208719194557,954.5965949648171,947.7303680880073,831.5300000000001
16.0,995.662028474874,964.293070156955,957.7512925808498,907.94
17.0,1004.0508182376302,973.8436349282453,967.6364026029173,886.6199999999997
18.0,1012.2763000535845,983.2348754829491,977.3715180033851,899.0699999999999
19.0,1020.3277107010813,992.4534911423859,986.9425214196928,895.0300000000003
20.0,1028.1945055558192,1001.486345101843,996.3354115140074,921.7899999999998
21.0,1035.8663997099843,1010.3205162951753,1005.5363577171524,924.6700000000003
22.0,1043.3334093314443,1018.9433520928308,1014.5317561973528,921.0100000000003
23.0,1050.5858930393722,1027.3425215413915,1023.3082867493509,892.69
24.0,1057.614593064591,1035.5060688373726,1031.8529702795986,901.5399999999997
25.0,1064.410675956946,1043.4224667149272,1040.153226545822,917.5899999999997
26.0,1070.965772597719,1051.0806694165994,1048.1969317946066,919.7500000000003
27.0,1077.2720172730187,1058.4701649088101,1055.9724759288931,921.5900000000004
28.0,1083.3220855641619,1065.5810259992086,1063.4688188289695,919.5000000000003
