Solution: A= 9.203, B=-2.635, ,c1=0.05, c2=-0.36 ,Crash=16.43 days/2017-12-11 09:51:47, m=0.80  ,w=11.41. Cost=1.46491
Solution: A= 9.295, B=-2.652, ,c1=0.06, c2=-0.33 ,Crash=47.27 days/2017-12-25 06:14:51, m=0.82  ,w=12.67. Cost=1.24251
Solution: A= 9.150, B=-2.615, ,c1=0.07, c2=-0.36 ,Crash=23.01 days/2017-12-10 23:46:24, m=0.84  ,w=11.32. Cost=1.38677
Solution: A= 9.173, B=-2.632, ,c1=0.08, c2=-0.36 ,Crash=17.08 days/2017-12-10 01:32:52, m=0.82  ,w=11.21. Cost=1.41446
Solution: A= 9.186, B=-2.621, ,c1=0.04, c2=-0.37 ,Crash=18.98 days/2017-12-10 23:06:48, m=0.81  ,w=11.41. Cost=1.46838
Solution: A= 9.163, B=-2.612, ,c1=0.06, c2=-0.36 ,Crash=27.28 days/2017-12-14 06:21:47, m=0.85  ,w=11.65. Cost=1.42941
Solution: A= 9.173, B=-2.631, ,c1=0.09, c2=-0.33 ,Crash=36.65 days/2017-12-18 15:18:20, m=0.88  ,w=11.96. Cost=1.57472
Solution: A= 9.132, B=-2.608, ,c1=0.07, c2=-0.35 ,Crash=30.77 days/2017-12-15 18:06:28, m=0.89  ,w=11.76. Cost=1.59672
Solution: A= 9.171, B=-2.612, ,c1=0.04, c2=-0.37 ,Crash=24.48 days/2017-12-12 11:10:40, m=0.83  ,w=11.54. Cost=1.45532
Solution: A= 9.173, B=-2.590, ,c1=0.03, c2=-0.36 ,Crash=32.86 days/2017-12-16 20:20:25, m=0.85  ,w=11.98. Cost=1.29821
Solution: A= 9.140, B=-2.600, ,c1=0.08, c2=-0.36 ,Crash=30.97 days/2017-12-14 22:49:32, m=0.87  ,w=11.68. Cost=1.34772
Solution: A= 9.186, B=-2.620, ,c1=0.04, c2=-0.37 ,Crash=18.92 days/2017-12-10 21:40:59, m=0.81  ,w=11.41. Cost=1.49912
Solution: A= 8.898, B=-2.469, ,c1=-0.12, c2=-0.39 ,Crash=5.09 days/2017-11-14 01:44:06, m=0.84  ,w=9.63. Cost=1.58475
Solution: A= 9.182, B=-2.652, ,c1=0.07, c2=-0.34 ,Crash=16.00 days/2017-12-10 23:38:49, m=0.82  ,w=11.31. Cost=1.73504
Solution: A= 9.285, B=-2.723, ,c1=0.15, c2=-0.25 ,Crash=52.29 days/2017-12-31 06:43:47, m=0.90  ,w=12.89. Cost=1.87253
Solution: A= 9.162, B=-2.618, ,c1=0.05, c2=-0.36 ,Crash=22.15 days/2017-12-11 03:10:30, m=0.83  ,w=11.39. Cost=1.55152
Solution: A= 9.140, B=-2.632, ,c1=0.07, c2=-0.34 ,Crash=24.47 days/2017-12-12 10:49:08, m=0.87  ,w=11.45. Cost=1.75378
Solution: A= 8.896, B=-2.463, ,c1=-0.15, c2=-0.40 ,Crash=2.84 days/2017-11-13 19:42:50, m=0.84  ,w=9.66. Cost=1.73122
