Solution: A= 9.125, B=-2.615, ,c1=0.10, c2=-0.38 ,Crash=29.41 days/2017-12-15 09:23:18, m=0.90  ,w=11.69. Cost=1.24834
Solution: A= 9.127, B=-2.613, ,c1=0.10, c2=-0.37 ,Crash=29.14 days/2017-12-15 02:55:06, m=0.89  ,w=11.66. Cost=1.24817
Solution: A= 9.799, B=-2.814, ,c1=0.19, c2=0.17 ,Crash=100.00 days/2018-02-23 23:39:07, m=0.84  ,w=16.84. Cost=1.15212
Solution: A= 9.639, B=-2.780, ,c1=0.28, c2=-0.01 ,Crash=79.89 days/2018-02-03 20:53:41, m=0.83  ,w=15.38. Cost=1.22399
Solution: A= 9.127, B=-2.614, ,c1=0.10, c2=-0.37 ,Crash=29.11 days/2017-12-15 02:18:08, m=0.89  ,w=11.65. Cost=1.24808
Solution: A= 9.128, B=-2.613, ,c1=0.10, c2=-0.37 ,Crash=29.16 days/2017-12-15 03:34:40, m=0.89  ,w=11.66. Cost=1.24805
Solution: A= 9.128, B=-2.612, ,c1=0.10, c2=-0.37 ,Crash=29.20 days/2017-12-15 04:26:57, m=0.89  ,w=11.66. Cost=1.24781
Solution: A= 9.123, B=-2.616, ,c1=0.10, c2=-0.38 ,Crash=29.16 days/2017-12-15 03:25:57, m=0.90  ,w=11.66. Cost=1.24601
Solution: A= 9.124, B=-2.619, ,c1=0.09, c2=-0.38 ,Crash=29.70 days/2017-12-15 16:24:30, m=0.90  ,w=11.72. Cost=1.24399
Solution: A= 9.123, B=-2.621, ,c1=0.09, c2=-0.38 ,Crash=29.47 days/2017-12-15 11:01:21, m=0.90  ,w=11.72. Cost=1.24184
Solution: A= 9.127, B=-2.625, ,c1=0.08, c2=-0.38 ,Crash=29.94 days/2017-12-15 22:15:26, m=0.90  ,w=11.78. Cost=1.23770
Solution: A= 9.126, B=-2.623, ,c1=0.08, c2=-0.38 ,Crash=29.77 days/2017-12-15 18:11:35, m=0.90  ,w=11.76. Cost=1.23712
Solution: A= 9.126, B=-2.623, ,c1=0.08, c2=-0.38 ,Crash=29.78 days/2017-12-15 18:27:40, m=0.90  ,w=11.76. Cost=1.23712
Solution: A= 9.125, B=-2.622, ,c1=0.08, c2=-0.38 ,Crash=29.76 days/2017-12-15 17:46:54, m=0.90  ,w=11.75. Cost=1.23680
Solution: A= 9.122, B=-2.617, ,c1=0.10, c2=-0.38 ,Crash=29.34 days/2017-12-15 07:55:31, m=0.90  ,w=11.68. Cost=1.23014
Solution: A= 9.130, B=-2.603, ,c1=0.12, c2=-0.36 ,Crash=28.26 days/2017-12-14 05:55:07, m=0.88  ,w=11.52. Cost=1.21721
Solution: A= 9.131, B=-2.592, ,c1=0.14, c2=-0.35 ,Crash=27.33 days/2017-12-13 07:33:12, m=0.87  ,w=11.39. Cost=1.20975
Solution: A= 9.143, B=-2.575, ,c1=0.16, c2=-0.33 ,Crash=26.17 days/2017-12-12 03:41:41, m=0.84  ,w=11.23. Cost=1.20169
Solution: A= 9.149, B=-2.565, ,c1=0.17, c2=-0.32 ,Crash=25.47 days/2017-12-11 10:48:58, m=0.83  ,w=11.13. Cost=1.19721
Solution: A= 9.768, B=-2.791, ,c1=0.20, c2=0.18 ,Crash=100.00 days/2018-02-23 23:39:07, m=0.85  ,w=16.84. Cost=1.15294
Solution: A= 9.126, B=-2.614, ,c1=0.10, c2=-0.37 ,Crash=29.13 days/2017-12-15 02:41:52, m=0.89  ,w=11.66. Cost=1.24816
Solution: A= 9.126, B=-2.614, ,c1=0.10, c2=-0.37 ,Crash=29.22 days/2017-12-15 05:02:14, m=0.89  ,w=11.66. Cost=1.24812
Solution: A= 9.128, B=-2.613, ,c1=0.10, c2=-0.37 ,Crash=29.09 days/2017-12-15 01:52:13, m=0.89  ,w=11.66. Cost=1.24811
Solution: A= 9.809, B=-2.821, ,c1=0.19, c2=0.17 ,Crash=100.00 days/2018-02-23 23:39:07, m=0.83  ,w=16.84. Cost=1.15196
Solution: A= 9.123, B=-2.614, ,c1=0.10, c2=-0.37 ,Crash=28.89 days/2017-12-14 20:56:42, m=0.89  ,w=11.63. Cost=1.24808
Solution: A= 9.831, B=-2.837, ,c1=0.19, c2=0.17 ,Crash=100.00 days/2018-02-23 23:39:07, m=0.82  ,w=16.83. Cost=1.15099
