basinhopping  Minimizing...
New minima 0.01857353 accepted. Solution: A= 9.534, B=-2.906, Crash=30.00 days from 2017-12-02 23:39:07, m=0.75 ,c1=-0.05 ,w=21.54 ,c2=0.01.
New minima 0.01947783 accepted. Solution: A= 9.935, B=-3.238, Crash=29.99 days from 2017-12-02 23:39:07, m=0.59 ,c1=-0.03 ,w=21.43 ,c2=0.03.
New minima 0.01893741 accepted. Solution: A= 9.702, B=-3.037, Crash=29.99 days from 2017-12-02 23:39:07, m=0.67 ,c1=-0.04 ,w=21.22 ,c2=0.05.
New minima 0.01853390 accepted. Solution: A= 9.494, B=-2.875, Crash=29.68 days from 2017-12-02 23:39:07, m=0.77 ,c1=-0.05 ,w=20.81 ,c2=0.02.
New minima 0.01848315 accepted. Solution: A= 9.520, B=-2.896, Crash=29.67 days from 2017-12-02 23:39:07, m=0.76 ,c1=-0.05 ,w=20.61 ,c2=0.02.
New minima 0.01853877 accepted. Solution: A= 9.846, B=-3.166, Crash=29.24 days from 2017-12-02 23:39:07, m=0.62 ,c1=-0.06 ,w=19.42 ,c2=0.03.
New minima 0.01816180 accepted. Solution: A= 9.539, B=-2.910, Crash=29.59 days from 2017-12-02 23:39:07, m=0.75 ,c1=-0.06 ,w=19.88 ,c2=0.03.
New minima 0.01808042 accepted. Solution: A= 9.550, B=-2.920, Crash=29.46 days from 2017-12-02 23:39:07, m=0.74 ,c1=-0.07 ,w=19.73 ,c2=0.03.
New minima 0.00814940 accepted. Solution: A= 9.235, B=-2.816, Crash=17.04 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.04 ,w=12.52 ,c2=-0.26.
New minima 0.00826176 accepted. Solution: A= 9.273, B=-2.836, Crash=17.93 days from 2017-12-02 23:39:07, m=0.88 ,c1=-0.07 ,w=12.82 ,c2=-0.24.
New minima 0.00842042 accepted. Solution: A= 9.252, B=-2.825, Crash=18.79 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.10 ,w=13.16 ,c2=-0.24.
New minima 0.00889813 accepted. Solution: A= 9.259, B=-2.825, Crash=19.82 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.14 ,w=13.58 ,c2=-0.21.
New minima 0.00836273 accepted. Solution: A= 9.250, B=-2.825, Crash=18.61 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.10 ,w=13.09 ,c2=-0.24.
New minima 0.00814975 accepted. Solution: A= 9.236, B=-2.817, Crash=17.11 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.04 ,w=12.55 ,c2=-0.26.
New minima 0.00836891 accepted. Solution: A= 9.214, B=-2.795, Crash=15.23 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.03 ,w=11.90 ,c2=-0.26.
New minima 0.00815425 accepted. Solution: A= 9.233, B=-2.814, Crash=16.79 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.03 ,w=12.43 ,c2=-0.26.
New minima 0.00830875 accepted. Solution: A= 9.256, B=-2.818, Crash=15.79 days from 2017-12-02 23:39:07, m=0.87 ,c1=0.01 ,w=12.07 ,c2=-0.25.
New minima 0.00840901 accepted. Solution: A= 9.217, B=-2.795, Crash=15.06 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.03 ,w=11.85 ,c2=-0.26.
New minima 0.00845335 accepted. Solution: A= 9.210, B=-2.784, Crash=15.12 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.04 ,w=11.83 ,c2=-0.24.
New minima 0.00902961 accepted. Solution: A= 9.212, B=-2.770, Crash=13.12 days from 2017-12-02 23:39:07, m=0.88 ,c1=0.11 ,w=11.20 ,c2=-0.23.
x0: [ 7.149, -0.136, 19.960, 0.298, 0.029, 21.960, -0.482, 2017.921 ]
Solution: A= 9.235, B=-2.816, Crash=17.04 days/2017-12-20 00:40:04, m=0.90 ,c1=-0.04 ,w=12.52 ,c2=-0.26. Cost=0.00815
basinhopping  Minimizing...
New minima 0.19436712 accepted. Solution: A= 14.673, B=-7.625, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19436679 accepted. Solution: A= 14.673, B=-7.624, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19439146 accepted. Solution: A= 14.645, B=-7.597, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.20079798 accepted. Solution: A= 14.730, B=-7.684, Crash=0.30 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.61.
New minima 0.20079884 accepted. Solution: A= 14.730, B=-7.685, Crash=0.30 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.61.
New minima 0.19438110 accepted. Solution: A= 14.657, B=-7.609, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19436713 accepted. Solution: A= 14.673, B=-7.625, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19447368 accepted. Solution: A= 14.554, B=-7.507, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19442554 accepted. Solution: A= 14.606, B=-7.559, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.25962209 not accepted. Solution: A= 15.092, B=-8.057, Crash=2.52 days from 2017-12-02 23:39:07, m=0.10 ,c1=-0.00 ,w=25.00 ,c2=-0.73.
New minima 0.20083959 accepted. Solution: A= 14.725, B=-7.679, Crash=0.28 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.61.
New minima 0.19438290 accepted. Solution: A= 14.654, B=-7.606, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.20099660 accepted. Solution: A= 14.567, B=-7.523, Crash=0.29 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.61.
New minima 0.19436754 accepted. Solution: A= 14.672, B=-7.624, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.22219733 accepted. Solution: A= 14.879, B=-7.839, Crash=1.12 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.66.
New minima 0.19436747 accepted. Solution: A= 14.673, B=-7.624, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.20134233 accepted. Solution: A= 14.309, B=-7.268, Crash=0.28 days from 2017-12-02 23:39:07, m=0.11 ,c1=0.00 ,w=25.00 ,c2=-0.61.
New minima 0.19454127 accepted. Solution: A= 14.481, B=-7.435, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19444310 accepted. Solution: A= 14.587, B=-7.539, Crash=0.02 days from 2017-12-02 23:39:07, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59.
New minima 0.19528680 accepted. Solution: A= 13.807, B=-6.770, Crash=0.01 days from 2017-12-02 23:39:07, m=0.12 ,c1=0.00 ,w=25.00 ,c2=-0.61.
x0: [ 2.722, -0.238, 0.630, 0.451, -0.164, 21.729, -0.425, 2017.921 ]
Solution: A= 14.673, B=-7.624, Crash=0.02 days/2017-12-03 00:06:50, m=0.10 ,c1=0.00 ,w=25.00 ,c2=-0.59. Cost=0.19437
basinhopping  Minimizing...
New minima 0.00812386 accepted. Solution: A= 9.258, B=-2.821, Crash=19.62 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.04 ,w=12.78 ,c2=-0.26.
New minima 0.00884304 accepted. Solution: A= 9.280, B=-2.830, Crash=22.14 days from 2017-12-02 23:39:07, m=0.90 ,c1=-0.12 ,w=13.72 ,c2=-0.22.
New minima 0.00820626 accepted. Solution: A= 9.278, B=-2.834, Crash=20.28 days from 2017-12-02 23:39:07, m=0.89 ,c1=-0.06 ,w=13.00 ,c2=-0.25.
New minima 0.00821095 accepted. Solution: A= 9.239, B=-2.803, Crash=18.01 days from 2017-12-02 23:39:07, m=0.90 ,c1=0.02 ,w=12.23 ,c2=-0.26.
New minima 0.00819091 accepted. Solution: A= 9.271, B=-2.822, Crash=18.38 days from 2017-12-02 23:39:07, m=0.88 ,c1=0.01 ,w=12.34 ,c2=-0.26.
